,cnyesId,nav,forSale,change,fundYesId,investmentArea,categoryAbbr,prevPrice,displayNameLocal,priceDate,inceptionDate,lastUpdate,classCurrencyLocal,changePercent,return1Month,displayNameLocalWithKwd,forSaleUrl,fundTags,portfolio_errors
1097,A36002,12.6379,0,0.0001,,台灣,貨幣市場 - 新台幣,12.6378,安聯台灣貨幣市場基金,1614268800,964972800.0,1614268800,新台幣,0.0,0.02137,0,,[],"{""message"":""Token not found"",""status_code"":400}"
1098,A23006,72.08,1,-1.9,A23006,台灣,產業股票 - 科技,73.98,復華數位經濟基金,1614268800,957888000.0,1614268800,新台幣,-2.57,4.82839,0,https://www.anuefund.com/Redr/Redr.aspx?FundID=A23006,[],"{""message"":""Token not found"",""status_code"":400}"
1099,A12009,37.4256,0,-0.7306,,台灣,股債混合(平衡型),38.1562,華南永昌龍盈平衡基金,1614268800,982684800.0,1614268800,新台幣,-1.91,2.32451,0,,"[{'promoteName': '晨星評等', 'promoteDescription': '基金的報酬、風險及費用三個面向發展出的晨星星等評級，評級結果由最高5顆星到最低1顆星', 'startAt': 1556640000, 'endAt': 2524492800, 'handlingFeePercent': None, 'iconName': '晨星５星', 'iconSymbol': '★', 'darkColor': '#54B5C6', 'lightColor': '#70D0E1'}]","{""message"":""Token not found"",""status_code"":400}"
1100,A19001,20.61,0,-0.38,,台灣,台灣股票,20.99,兆豐國際第一基金,1614268800,505152000.0,1614268800,新台幣,-1.81,2.48633,0,,[],"{""message"":""Token not found"",""status_code"":400}"
1101,A04016,36.28,1,-1.19,A04016,台灣,台灣股票,37.47,匯豐台灣精典基金,1614268800,900345600.0,1614268800,新台幣,-3.18,0.47078,0,https://www.anuefund.com/Redr/Redr.aspx?FundID=A04016,[],"{""message"":""Token not found"",""status_code"":400}"
1102,A04005,33.99,1,-0.76,A04005,台灣,股債混合(平衡型),34.75,匯豐安富基金,1614268800,630086400.0,1614268800,新台幣,-2.19,0.26549,0,https://www.anuefund.com/Redr/Redr.aspx?FundID=A04005,"[{'promoteName': '轉申購優惠手續費率', 'promoteDescription': '債券、平衡全系列及股票月配息級別0手續費至2021/12/31', 'startAt': 1578412800, 'endAt': 1640880000, 'handlingFeePercent': None, 'iconName': '０手續費', 'iconSymbol': '＄', 'darkColor': '#FFB43E', 'lightColor': '#FFD086'}, {'promoteName': '晨星評等', 'promoteDescription': '基金的報酬、風險及費用三個面向發展出的晨星星等評級，評級結果由最高5顆星到最低1顆星', 'startAt': 1556640000, 'endAt': 2524492800, 'handlingFeePercent': None, 'iconName': '晨星４星', 'iconSymbol': '★', 'darkColor': '#54B5C6', 'lightColor': '#70D0E1'}]","{""message"":""Token not found"",""status_code"":400}"
1103,A04013,15.0559,0,0.0001,,台灣,貨幣市場 - 新台幣,15.0558,匯豐富泰二號貨幣市場基金,1614268800,845481600.0,1614268800,新台幣,0.0,0.00332,0,,[],"{""message"":""Token not found"",""status_code"":400}"
1104,A31001,43.4,1,-1.25,A31001,台灣,台灣股票,44.65,貝萊德寶利基金,1614268800,926265600.0,1614268800,新台幣,-2.8,1.61555,0,https://www.anuefund.com/Redr/Redr.aspx?FundID=A31001,"[{'promoteName': '貝萊德及中銀投信上架優惠', 'promoteDescription': '貝萊德/台中銀投信上架單筆申購0手續費優惠至2021年3月31日', 'startAt': 1607443200, 'endAt': 1617120000, 'handlingFeePercent': None, 'iconName': '０手續費', 'iconSymbol': '＄', 'darkColor': '#FFB43E', 'lightColor': '#FFD086'}, {'promoteName': '晨星評等', 'promoteDescription': '基金的報酬、風險及費用三個面向發展出的晨星星等評級，評級結果由最高5顆星到最低1顆星', 'startAt': 1556640000, 'endAt': 2524492800, 'handlingFeePercent': None, 'iconName': '晨星５星', 'iconSymbol': '★', 'darkColor': '#54B5C6', 'lightColor': '#70D0E1'}]","{""message"":""Token not found"",""status_code"":400}"
1105,A32006,36.64,1,-0.84,A32006,台灣,產業股票 - 科技,37.48,野村ｅ科技基金,1614268800,969033600.0,1614268800,新台幣,-2.24,5.16648,0,https://www.anuefund.com/Redr/Redr.aspx?FundID=A32006,[],"{""message"":""Token not found"",""status_code"":400}"
1106,A35002,12.6586,0,0.0001,,台灣,貨幣市場 - 新台幣,12.6585,鋒裕匯理所羅門貨幣市場基金,1614268800,967132800.0,1614268800,新台幣,0.0,0.00869,0,,[],"{""message"":""Token not found"",""status_code"":400}"
